NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012
Massachusetts,Massachusetts,6547629,6547629,6563259,6607003,6646144
Agawam Town city,Massachusetts,28438,28438,28455,28573,28608
Amesbury Town city,Massachusetts,16283,16283,16316,16437,16535
Attleboro city,Massachusetts,43593,43593,43613,43689,43837
Barnstable Town city,Massachusetts,45193,45193,45166,44932,44824
Beverly city,Massachusetts,39502,39502,39709,40046,40286
Boston city,Massachusetts,617594,617594,620223,628335,636479
Braintree Town city,Massachusetts,35744,35744,35813,36008,36249
Brockton city,Massachusetts,93810,93810,93826,94133,94094
Cambridge city,Massachusetts,105162,105162,104944,105792,106471
Chelsea city,Massachusetts,35177,35177,35310,36112,36828
Chicopee city,Massachusetts,55298,55298,55262,55518,55490
Easthampton Town city,Massachusetts,16053,16053,16037,16024,16007
Everett city,Massachusetts,41667,41667,41738,42118,42567
Fall River city,Massachusetts,88857,88857,88865,88842,88945
Fitchburg city,Massachusetts,40318,40318,40417,40367,40411
Franklin Town city,Massachusetts,31635,31635,31872,32213,32374
Gardner city,Massachusetts,20228,20228,20161,20202,20254
Gloucester city,Massachusetts,28789,28789,28860,29018,29191
Greenfield Town city,Massachusetts,17456,17456,17420,17586,17553
Haverhill city,Massachusetts,60879,60879,60967,61456,61797
Holyoke city,Massachusetts,39880,39880,39897,40143,40135
Lawrence city,Massachusetts,76377,76377,76519,76960,77326
Leominster city,Massachusetts,40759,40759,40774,40888,40989
Lowell city,Massachusetts,106519,106519,106709,107571,108522
Lynn city,Massachusetts,90329,90329,90490,90880,91253
Malden city,Massachusetts,59450,59450,59561,59940,60374
Marlborough city,Massachusetts,38499,38499,38559,38874,39204
Medford city,Massachusetts,56173,56253,56331,56660,57033
Melrose city,Massachusetts,26983,26983,27030,27234,27435
Methuen Town city,Massachusetts,47255,47255,47355,47691,48009
New Bedford city,Massachusetts,95072,95072,95050,94885,94929
Newburyport city,Massachusetts,17416,17416,17447,17554,17654
Newton city,Massachusetts,85146,85146,85355,85596,86307
North Adams city,Massachusetts,13708,13708,13786,13646,13583
Northampton city,Massachusetts,28549,28549,28624,28614,28592
Palmer Town city,Massachusetts,12140,12140,12142,12154,12152
Peabody city,Massachusetts,51251,51251,51369,51597,51867
Pittsfield city,Massachusetts,44737,44737,44701,44362,44168
Quincy city,Massachusetts,92271,92271,92434,92650,93027
Revere city,Massachusetts,51755,51755,51858,52562,53179
Salem city,Massachusetts,41340,41340,41830,42047,42219
Somerville city,Massachusetts,75754,75674,75776,76265,77104
Southbridge Town city,Massachusetts,16719,16719,16728,16757,16799
Springfield city,Massachusetts,153060,153060,153451,153581,153552
Taunton city,Massachusetts,55874,55874,55897,55956,56055
Waltham city,Massachusetts,60632,60632,60863,61418,61918
Watertown Town city,Massachusetts,31915,31915,31985,32199,32863
Westfield city,Massachusetts,41094,41094,41119,41380,41399
West Springfield Town city,Massachusetts,28391,28391,28355,28537,28574
Weymouth Town city,Massachusetts,53743,53743,53802,54153,54906
Winthrop Town city,Massachusetts,17497,17497,17524,17747,17940
Woburn city,Massachusetts,38120,38126,38280,38598,38949
Worcester city,Massachusetts,181045,181045,181861,182434,182669
Barnstable County,Massachusetts,215888,215888,215959,215662,215423
Barnstable Town city,Massachusetts,45193,45193,45166,44932,44824
Balance of Barnstable County,Massachusetts,170695,170695,170793,170730,170599
Barnstable Town city,Massachusetts,45193,45193,45166,44932,44824
Barnstable Town city,Massachusetts,45193,45193,45166,44932,44824
Bourne town,Massachusetts,19754,19754,19764,19837,19806
Brewster town,Massachusetts,9820,9820,9830,9821,9806
Chatham town,Massachusetts,6125,6125,6130,6128,6141
Dennis town,Massachusetts,14207,14207,14211,14176,14153
Eastham town,Massachusetts,4956,4956,4958,4951,4946
Falmouth town,Massachusetts,31531,31531,31545,31537,31514
Harwich town,Massachusetts,12243,12243,12258,12253,12263
Mashpee town,Massachusetts,14006,14006,14014,14002,14005
Orleans town,Massachusetts,5890,5890,5895,5885,5881
Provincetown town,Massachusetts,2942,2942,2947,2961,2968
Sandwich town,Massachusetts,20675,20675,20683,20665,20662
Truro town,Massachusetts,2003,2003,2005,2007,2009
Wellfleet town,Massachusetts,2750,2750,2751,2748,2742
Yarmouth town,Massachusetts,23793,23793,23802,23759,23703
Berkshire County,Massachusetts,131219,131219,131232,130447,130016
North Adams city,Massachusetts,13708,13708,13786,13646,13583
Pittsfield city,Massachusetts,44737,44737,44701,44362,44168
Balance of Berkshire County,Massachusetts,72774,72774,72745,72439,72265
Adams town,Massachusetts,8485,8485,8477,8420,8383
Alford town,Massachusetts,494,494,494,495,492
Becket town,Massachusetts,1779,1779,1779,1779,1778
Cheshire town,Massachusetts,3235,3235,3234,3225,3219
Clarksburg town,Massachusetts,1702,1702,1701,1692,1689
Dalton town,Massachusetts,6756,6756,6756,6742,6733
Egremont town,Massachusetts,1225,1225,1224,1226,1225
Florida town,Massachusetts,752,752,752,751,749
Great Barrington town,Massachusetts,7104,7104,7097,7029,7003
Hancock town,Massachusetts,717,717,717,717,716
Hinsdale town,Massachusetts,2032,2032,2031,2020,2010
Lanesborough town,Massachusetts,3091,3091,3087,3070,3057
Lee town,Massachusetts,5943,5943,5942,5918,5898
Lenox town,Massachusetts,5025,5025,5022,5007,5000
Monterey town,Massachusetts,961,961,961,957,955
Mount Washington town,Massachusetts,167,167,167,166,166
New Ashford town,Massachusetts,228,228,228,227,227
New Marlborough town,Massachusetts,1509,1509,1508,1503,1498
North Adams city,Massachusetts,13708,13708,13786,13646,13583
North Adams city,Massachusetts,13708,13708,13786,13646,13583
Otis town,Massachusetts,1612,1612,1610,1604,1599
Peru town,Massachusetts,847,847,849,854,852
Pittsfield city,Massachusetts,44737,44737,44701,44362,44168
Pittsfield city,Massachusetts,44737,44737,44701,44362,44168
Richmond town,Massachusetts,1475,1475,1474,1466,1459
Sandisfield town,Massachusetts,915,915,917,918,919
Savoy town,Massachusetts,692,692,692,691,688
Sheffield town,Massachusetts,3257,3257,3256,3243,3233
Stockbridge town,Massachusetts,1947,1947,1945,1941,1961
Tyringham town,Massachusetts,327,327,327,325,324
Washington town,Massachusetts,538,538,538,534,535
West Stockbridge town,Massachusetts,1306,1306,1305,1299,1295
Williamstown town,Massachusetts,7754,7754,7755,7718,7700
Windsor town,Massachusetts,899,899,900,902,902
Bristol County,Massachusetts,548285,548285,549223,549612,551082
Attleboro city,Massachusetts,43593,43593,43613,43689,43837
Fall River city,Massachusetts,88857,88857,88865,88842,88945
New Bedford city,Massachusetts,95072,95072,95050,94885,94929
